n_threads;time(s);mPow_size
2;0.102392;12
2;0.102332;12
2;0.102361;12
2;0.102018;12
2;0.104127;12
4;0.063753;12
4;0.063541;12
4;0.062957;12
4;0.062961;12
4;0.062926;12
8;0.045252;12
8;0.043763;12
8;0.041472;12
8;0.044278;12
8;0.039516;12
16;0.041916;12
16;0.037682;12
16;0.037458;12
16;0.037192;12
16;0.037482;12
32;0.034229;12
32;0.036606;12
32;0.039778;12
32;0.037704;12
32;0.039783;12
64;0.035306;12
64;0.034813;12
64;0.034146;12
64;0.035582;12
64;0.03306;12
96;0.035531;12
96;0.034465;12
96;0.033718;12
96;0.034302;12
96;0.033511;12
1;2.00002e-06;4
1;3.00002e-06;4
1;2.00002e-06;4
1;2.00002e-06;4
1;4.00003e-06;4
1;3.00002e-06;4
1;3.00002e-06;4
1;2.00002e-06;4
1;2.00002e-06;4
1;3.00002e-06;4
1;2.00002e-06;4
1;1.00001e-05;4
1;3.00002e-06;4
1;3.00002e-06;4
1;3.00002e-06;4
1;3.00002e-06;4
1;2.00002e-06;4
1;3.00002e-06;4
1;3.00002e-06;4
1;2.00002e-06;4
2;8.39999e-05;4
2;3.6e-05;4
2;3.4e-05;4
2;3.90001e-05;4
2;4.90001e-05;4
2;2.9e-05;4
2;2.39999e-05;4
2;7.29999e-05;4
2;3.80001e-05;4
2;2.19999e-05;4
2;3e-05;4
2;3.1e-05;4
2;4.50001e-05;4
2;5.6e-05;4
2;6.6e-05;4
2;0.000124;4
2;0.000103;4
4;0.000107;4
2;6.6e-05;4
2;5.9e-05;4
4;0.000115;4
4;6.5e-05;4
2;5.19999e-05;4
4;8.19999e-05;4
4;5.29999e-05;4
4;0.000127;4
4;8.29999e-05;4
4;9.39998e-05;4
4;7.19998e-05;4
4;5.5e-05;4
4;3.4e-05;4
4;2.8e-05;4
4;4.59999e-05;4
4;5.19999e-05;4
4;7.79999e-05;4
4;7.89999e-05;4
4;7.30001e-05;4
8;9.8e-05;4
4;0.000133;4
4;0.000103;4
8;0.000118;4
4;0.000115;4
8;0.000174;4
8;0.000165;4
8;0.000147;4
8;0.000149;4
8;0.000146;4
8;0.000116;4
8;0.000119;4
8;0.000147;4
8;0.000138;4
8;0.000161;4
8;0.000108;4
8;0.000191;4
8;8.19999e-05;4
8;0.000127;4
8;0.000217;4
8;0.000173;4
16;0.000276;4
8;0.000155;4
16;0.000294;4
8;0.000207;4
16;0.000305;4
16;0.000309;4
16;0.000278;4
16;0.000253;4
16;0.000307;4
16;0.000195;4
16;0.000269;4
16;0.000239;4
16;0.000237;4
16;0.000253;4
16;0.000241;4
16;0.000283;4
16;0.000222;4
16;0.000247;4
16;0.000171;4
16;0.000256;4
16;0.000334;4
16;0.000424;4
32;0.000538;4
32;0.000563;4
32;0.000505;4
32;0.000589;4
32;0.000612;4
32;0.000537;4
32;0.000554;4
32;0.000521;4
32;0.000585;4
32;0.000478;4
32;0.000498;4
32;0.000529;4
32;0.000484;4
32;0.000373;4
32;0.000551;4
32;0.000571;4
32;0.000616;4
32;0.000481;4
32;0.000554;4
32;0.000577;4
64;0.000899;4
64;0.001191;4
64;0.001295;4
64;0.001286;4
64;0.001239;4
64;0.001206;4
64;0.001248;4
64;0.001185;4
64;0.001214;4
64;0.000999;4
64;0.001123;4
64;0.001076;4
64;0.001116;4
64;0.001047;4
64;0.001229;4
64;0.001174;4
64;0.001143;4
64;0.001113;4
64;0.001196;4
64;0.001231;4
96;0.001576;4
96;0.001856;4
96;0.001639;4
96;0.001756;4
96;0.001791;4
96;0.001513;4
96;0.001555;4
96;0.001595;4
96;0.00167;4
96;0.001537;4
96;0.001585;4
96;0.001624;4
96;0.001604;4
96;0.00157;4
96;0.001696;4
96;0.001553;4
96;0.001509;4
1;6.00005e-06;5
1;5.00004e-06;5
1;6.00005e-06;5
1;5.00004e-06;5
96;0.001313;4
1;1.99999e-05;5
96;0.001448;4
1;4.99981e-06;5
96;0.001606;4
1;7.00005e-06;5
2;3.4e-05;5
1;5.00004e-06;5
1;5.00004e-06;5
2;2.20002e-05;5
1;4.99981e-06;5
2;8.7e-05;5
2;0.000435;5
2;1.79999e-05;5
2;2.80002e-05;5
1;4.99981e-06;5
1;7.00005e-06;5
1;6.00005e-06;5
2;9e-05;5
1;1.49999e-05;5
1;6.00005e-06;5
2;4.69999e-05;5
4;5.6e-05;5
1;1.30001e-05;5
2;0.000463;5
2;3.6e-05;5
1;5.99981e-06;5
4;0.000468;5
2;1.79999e-05;5
1;5.99981e-06;5
2;2.8e-05;5
1;5.00004e-06;5
4;6.4e-05;5
1;6.00005e-06;5
2;5.39999e-05;5
4;0.00013;5
4;0.000535;5
2;1.60001e-05;5
4;0.000346;5
2;0.000496;5
2;2.9e-05;5
4;6.1e-05;5
2;5.09999e-05;5
2;6e-05;5
4;9.7e-05;5
2;5.39999e-05;5
8;8.40002e-05;5
4;5.39999e-05;5
4;8.6e-05;5
8;8.09999e-05;5
2;0.000103;5
4;6.3e-05;5
4;5.39999e-05;5
8;0.000102;5
4;0.0001;5
4;0.000104;5
8;8.00001e-05;5
8;9.90001e-05;5
4;8.29999e-05;5
8;7.39999e-05;5
8;5.40002e-05;5
4;8.40002e-05;5
4;5.30002e-05;5
8;0.000121;5
4;9.8e-05;5
4;8.29999e-05;5
8;7.59999e-05;5
16;7.99999e-05;5
8;9.90001e-05;5
4;1.80001e-05;5
8;9.8e-05;5
8;0.000136;5
16;0.000156;5
8;6.7e-05;5
8;0.000129;5
16;0.000172;5
8;6.7e-05;5
8;0.000127;5
16;0.000203;5
8;0.000108;5
8;0.000144;5
16;0.000183;5
16;0.000151;5
8;0.000131;5
16;0.000127;5
8;0.00016;5
16;0.000171;5
16;0.00022;5
16;0.000225;5
16;0.000315;5
32;0.000349;5
16;0.000359;5
16;0.000191;5
16;0.000234;5
16;0.000194;5
16;0.000183;5
32;0.000264;5
16;0.000368;5
32;0.000343;5
16;0.00036;5
16;0.000266;5
16;0.000257;5
32;0.000366;5
32;0.000463;5
32;0.000476;5
32;0.000426;5
32;0.0007;5
32;0.000691;5
32;0.000609;5
32;0.000493;5
32;0.000482;5
32;0.000444;5
32;0.000667;5
32;0.000628;5
64;0.000821;5
