n_procs;time(s);mPow_size
32;0.072926;12
32;0.0586049;12
32;0.049314;12
32;0.0465865;12
32;0.0459489;12
64;0;4
64;0;5
64;0.000370353;6
64;2.31341e-05;6
64;1.89543e-05;6
64;1.81645e-05;6
64;1.74642e-05;6
64;0.000260636;7
64;4.10154e-05;7
64;3.89442e-05;7
64;3.618e-05;7
64;4.80711e-05;7
64;0.000306554;8
64;9.27821e-05;8
64;9.15155e-05;8
64;8.71718e-05;8
64;8.96007e-05;8
64;0.000887714;9
64;0.000507116;9
64;0.000352547;9
64;0.000325352;9
64;0.000326887;9
64;0.00288121;10
64;0.00219503;10
64;0.00158707;10
64;0.00147514;10
64;0.00157135;10
64;0.0123957;11
64;0.00994132;11
64;0.00667514;11
64;0.00655968;11
64;0.00665586;11
64;0.0733295;12
64;0.0672254;12
64;0.0432022;12
64;0.0500131;12
64;0.0471034;12
