time(s);mPow_size
2.44007e-06;4
2.32458e-06;4
8.6762e-06;4
8.55327e-06;4
8.06525e-06;4
1.01738e-05;5
1.04383e-05;5
1.03749e-05;5
1.01328e-05;5
3.0458e-05;5
3.88585e-05;6
3.87989e-05;6
4.66406e-05;6
3.89442e-05;6
4.7233e-05;6
0.000176307;7
0.000164434;7
0.000153016;7
0.000153191;7
0.000473145;7
0.000540335;8
0.000558376;8
0.000564765;8
0.00107997;8
0.000896122;8
0.00228631;9
0.00256073;9
0.0024857;9
0.00249501;9
0.00225358;9
0.0113372;10
0.0106706;10
0.0095643;10
0.00996307;10
0.00968626;10
0.066453;11
0.0607431;11
0.0542274;11
0.0518512;11
0.0512038;11
0.271153;12
0.248872;12
0.247345;12
0.244185;12
0.242914;12
