n_threads;time(s);mPow_size
8;0.00299167;10
8;0.00300356;10
8;0.00296993;10
8;0.00301293;10
16;0.00163327;10
16;0.0016083;10
16;0.00160303;10
16;0.00161646;10
16;0.00160881;10
32;0.00090865;10
32;0.00089257;10
32;0.000891015;10
32;0.000894099;10
32;0.000887496;10
64;0.000836147;10
64;0.00079501;10
64;0.000834519;10
64;0.0008117;10
64;0.000814971;10
96;0.00144233;10
96;0.00165791;10
96;0.00163173;10
96;0.00140581;10
96;0.00150194;10
1;0.0552279;11
1;0.0529413;11
1;0.0513074;11
1;0.0504154;11
1;0.0499535;11
2;0.0373027;11
2;0.0419206;11
2;0.0479934;11
2;0.0484453;11
2;0.0481108;11
4;0.0252399;11
4;0.0225108;11
4;0.0246443;11
4;0.0245985;11
4;0.0245728;11
8;0.0129351;11
8;0.0123422;11
8;0.0124857;11
8;0.0126846;11
8;0.0127532;11
16;0.00676938;11
16;0.00652822;11
16;0.00652877;11
16;0.0065224;11
16;0.00655985;11
32;0.00359379;11
32;0.0034727;11
32;0.00346407;11
32;0.00347225;11
32;0.00348324;11
64;0.0020599;11
64;0.00204692;11
64;0.00204121;11
64;0.00202104;11
64;0.00202729;11
96;0.00342214;11
96;0.00363828;11
96;0.00399411;11
96;0.00361745;11
96;0.00342193;11
1;0.26192;12
1;0.24677;12
1;0.244972;12
1;0.244378;12
1;0.243513;12
2;0.163343;12
2;0.169038;12
2;0.168908;12
2;0.16965;12
2;0.169725;12
4;0.0866071;12
4;0.0852728;12
4;0.0911746;12
4;0.0920646;12
4;0.0923698;12
8;0.0478347;12
8;0.0438581;12
8;0.0469868;12
8;0.0467799;12
8;0.0467363;12
16;0.0251029;12
16;0.0496555;12
16;0.0260795;12
16;0.0247682;12
16;0.0249527;12
32;0.0132102;12
32;0.0128868;12
32;0.0133129;12
32;0.0135476;12
32;0.0134302;12
64;0.00743893;12
64;0.00766477;12
64;0.00794188;12
64;0.00807168;12
64;0.00820658;12
96;0.0111906;12
96;0.010486;12
96;0.0108997;12
96;0.011039;12
96;0.0102199;12
