time(s);mPow_size
2e-06;4
1.00001e-06;4
9.99993e-07;4
2e-06;4
9.99993e-07;4
1.00001e-06;4
9.99993e-07;4
2e-06;4
1.00001e-06;4
9.99993e-07;4
1.00001e-06;4
9.99993e-07;4
1.00001e-06;4
2e-06;4
1.00001e-06;4
1.00001e-06;4
2e-06;4
1.00001e-06;4
9.99993e-07;4
1.00001e-06;4
1.00001e-06;4
1.00001e-06;4
1.00001e-06;4
2e-06;4
1.00001e-06;4
1.00001e-06;4
1.00001e-06;4
1.5e-05;4
5.00001e-06;4
2.99999e-06;4
1.00001e-06;4
9.99993e-07;4
2e-06;4
4e-06;4
3.99999e-06;4
2e-06;4
1.00001e-06;4
9.99993e-07;4
1.00001e-06;4
2e-06;4
9.99993e-07;4
9.99993e-07;4
1.00001e-06;4
9.99993e-07;4
1.00001e-06;4
1.00001e-06;4
2e-06;4
9.99993e-07;4
4e-06;4
2.99999e-06;4
1.00001e-06;4
2e-06;4
2e-06;4
9.99993e-07;4
1.00001e-06;4
2e-06;4
1.00001e-06;4
0.000297;4
4e-06;4
4e-06;4
1.00001e-06;4
1.00001e-06;4
9.99993e-07;4
1.99999e-06;4
2e-06;4
1.00001e-06;4
2e-06;4
4e-06;4
2.99999e-06;4
2.99999e-06;4
9.99993e-07;4
1.00001e-06;4
9.99993e-07;4
2e-06;4
1.00001e-06;4
2e-06;4
9.99993e-07;4
1.00001e-06;4
9.99993e-07;4
1.00001e-06;4
1.00001e-06;4
1.00001e-06;4
9.99993e-07;4
1.00001e-06;4
2e-06;4
9.99993e-07;4
2e-06;4
9.99993e-07;4
2e-06;4
1.00001e-06;4
9.99993e-07;4
1.00001e-06;4
2e-06;4
9.99993e-07;4
1.00001e-06;4
1.00001e-06;4
9.99993e-07;4
9.99993e-07;4
9.99993e-07;4
1.00001e-06;4
2e-06;4
2e-06;4
9.99993e-07;4
1.00001e-06;4
2e-06;4
1.00001e-06;4
1.00001e-06;4
2e-06;4
1.00001e-06;4
9.99993e-07;4
0;2
1.00001e-06;2
0;2
0;2
0;2
0;2
0;2
0;2
1.00001e-06;2
9.99993e-07;2
0;2
0;2
1.00001e-06;2
0;2
9.99993e-07;2
1.00001e-06;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
9.99993e-07;2
0;2
9.99993e-07;2
0;2
1.00001e-06;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
9.99993e-07;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
1.00001e-06;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
1.00001e-06;2
0;2
9.99993e-07;2
9.99993e-07;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
9.99993e-07;2
0;2
9.99993e-07;2
9.99993e-07;2
9.99993e-07;2
0;2
0;2
0;2
9.99993e-07;2
0;2
0;2
1.00001e-06;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
9.99979e-07;2
0;2
0;2
0;2
0;2
0.165198;12
0.173009;12
0.165073;12
0.173662;12
0.197174;12
1.00001e-06;4
1.00001e-06;4
2.00002e-06;4
1.00001e-06;4
1.00001e-06;4
1.3e-05;5
1.3e-05;5
1.4e-05;5
2.1e-05;5
4.99998e-06;5
1.8e-05;6
1.9e-05;6
1.9e-05;6
1.9e-05;6
0.000665;6
0.000227;7
0.000208;7
0.000218;7
0.000205;7
0.000203;7
0.216481;12
0.153512;12
0.145046;12
0.164558;12
0.186567;12
0.184858;12
0.159609;12
0.199866;12
0.152771;12
0.17397;12
0.134365;12
0.138425;12
0.139925;12
0.139857;12
0.15158;12
