n_procs;time(s);mPow_size
2;1.59388;12
2;1.593;12
2;1.5396;12
4;0.008365;4
4;0.0067;4
4;0.003063;4
4;0.003283;4
4;0.002502;4
4;0.004528;5
4;0.00428;5
4;0.003652;5
4;0.002394;5
4;0.003619;5
4;0.025548;6
4;0.015094;6
4;0.014771;6
4;0.008856;6
4;0.01462;6
4;0.043658;7
4;0.014998;7
4;0.011696;7
4;0.021275;7
4;0.019579;7
4;0.017242;8
4;0.029225;8
4;0.016129;8
4;0.032275;8
4;0.012388;8
4;0.065089;9
4;0.029342;9
4;0.044667;9
4;0.034273;9
4;0.024759;9
4;0.069347;10
4;0.072143;10
4;0.117575;10
4;0.104713;10
4;0.069138;10
4;0.262913;11
4;0.291329;11
4;0.292368;11
4;0.252633;11
4;0.286612;11
4;0.541842;12
4;0.450525;12
4;0.447878;12
4;0.423845;12
4;0.455256;12
4;0.478011;12
4;0.397537;12
4;0.361515;12
4;0.358723;12
4;0.361801;12
4;0.5029;12
4;0.425032;12
4;0.429471;12
4;0.400162;12
4;0.39062;12
4;0.413126;12
4;0.434564;12
4;0.399919;12
4;0.375548;12
4;0.369708;12
4;0.499765;12
4;0.38811;12
4;0.379424;12
4;0.373171;12
4;0.370677;12
