n_procs;time(s);mPow_size
64;0.00505655;9
64;0.00480984;9
64;0.00442796;9
64;0.00428881;9
64;0.0168058;10
64;0.0156783;10
64;0.0140507;10
64;0.0121263;10
64;0.0125091;10
64;0.0757742;11
64;0.0772435;11
64;0.0563034;11
64;0.0629805;11
64;0.0459419;11
64;0.344197;12
64;0.340376;12
64;0.345885;12
64;0.337418;12
64;0.344633;12
